elapsed_ratio,elapsed_seconds,audience_watch_ratio
0.01,0.46,1.1593
0.02,0.92,1.1504
0.03,1.39,1.1239
0.04,1.85,1.0885
0.05,2.31,1.0796
0.06,2.77,1.0442
0.07,3.23,1.0354
0.08,3.7,1.0265
0.09,4.16,1.0177
0.1,4.62,0.9469
0.11,5.08,0.8761
0.12,5.54,0.8142
0.13,6.01,0.7699
0.14,6.47,0.7434
0.15,6.93,0.6991
0.16,7.39,0.6903
0.17,7.85,0.646
0.18,8.32,0.6372
0.19,8.78,0.6018
0.2,9.24,0.5752
0.21,9.7,0.5221
0.22,10.16,0.5044
0.23,10.63,0.4513
0.24,11.09,0.4425
0.25,11.55,0.4425
0.26,12.01,0.4336
0.27,12.47,0.4248
0.28,12.94,0.4248
0.29,13.4,0.4071
0.3,13.86,0.4071
0.31,14.32,0.3894
0.32,14.78,0.3894
0.33,15.25,0.3628
0.34,15.71,0.3363
0.35,16.17,0.3274
0.36,16.63,0.3186
0.37,17.09,0.3097
0.38,17.56,0.3097
0.39,18.02,0.3097
0.4,18.48,0.3009
0.41,18.94,0.292
0.42,19.4,0.292
0.43,19.87,0.2832
0.44,20.33,0.2743
0.45,20.79,0.2566
0.46,21.25,0.2566
0.47,21.71,0.2566
0.48,22.18,0.2566
0.49,22.64,0.2566
0.5,23.1,0.2566
0.51,23.56,0.2478
0.52,24.02,0.2478
0.53,24.49,0.2478
0.54,24.95,0.2478
0.55,25.41,0.2389
0.56,25.87,0.2389
0.57,26.33,0.2389
0.58,26.8,0.2301
0.59,27.26,0.2301
0.6,27.72,0.2124
0.61,28.18,0.1947
0.62,28.64,0.1947
0.63,29.11,0.1947
0.64,29.57,0.177
0.65,30.03,0.1858
0.66,30.49,0.1858
0.67,30.95,0.177
0.68,31.42,0.177
0.69,31.88,0.177
0.7,32.34,0.177
0.71,32.8,0.177
0.72,33.26,0.177
0.73,33.73,0.177
0.74,34.19,0.177
0.75,34.65,0.177
0.76,35.11,0.177
0.77,35.57,0.177
0.78,36.04,0.177
0.79,36.5,0.177
0.8,36.96,0.177
0.81,37.42,0.177
0.82,37.88,0.177
0.83,38.35,0.177
0.84,38.81,0.177
0.85,39.27,0.177
0.86,39.73,0.177
0.87,40.19,0.1681
0.88,40.66,0.1681
0.89,41.12,0.1681
0.9,41.58,0.1681
0.91,42.04,0.1681
0.92,42.5,0.1681
0.93,42.97,0.1681
0.94,43.43,0.1681
0.95,43.89,0.1681
0.96,44.35,0.1681
0.97,44.81,0.1593
0.98,45.28,0.1504
0.99,45.74,0.1327
1,46.2,0.1327
