elapsed_ratio,elapsed_seconds,audience_watch_ratio
0.01,0.56,1.2569
0.02,1.12,1.2202
0.03,1.67,1.2018
0.04,2.23,1.1927
0.05,2.79,1.1835
0.06,3.35,1.1789
0.07,3.91,1.1789
0.08,4.46,1.1743
0.09,5.02,1.0917
0.1,5.58,1.0275
0.11,6.14,0.9954
0.12,6.7,0.9266
0.13,7.25,0.8578
0.14,7.81,0.8211
0.15,8.37,0.8028
0.16,8.93,0.7936
0.17,9.49,0.7706
0.18,10.04,0.7477
0.19,10.6,0.7385
0.2,11.16,0.7294
0.21,11.72,0.7248
0.22,12.28,0.7156
0.23,12.83,0.7064
0.24,13.39,0.6972
0.25,13.95,0.6881
0.26,14.51,0.6697
0.27,15.07,0.6606
0.28,15.62,0.6468
0.29,16.18,0.6422
0.3,16.74,0.633
0.31,17.3,0.6239
0.32,17.86,0.6239
0.33,18.41,0.6239
0.34,18.97,0.6147
0.35,19.53,0.6101
0.36,20.09,0.6009
0.37,20.65,0.5917
0.38,21.2,0.5917
0.39,21.76,0.5917
0.4,22.32,0.5826
0.41,22.88,0.5826
0.42,23.44,0.578
0.43,23.99,0.5734
0.44,24.55,0.5642
0.45,25.11,0.5642
0.46,25.67,0.5596
0.47,26.23,0.5596
0.48,26.78,0.5596
0.49,27.34,0.5596
0.5,27.9,0.5642
0.51,28.46,0.555
0.52,29.02,0.555
0.53,29.57,0.555
0.54,30.13,0.555
0.55,30.69,0.5459
0.56,31.25,0.5413
0.57,31.81,0.5367
0.58,32.36,0.5275
0.59,32.92,0.5138
0.6,33.48,0.5138
0.61,34.04,0.4954
0.62,34.6,0.4908
0.63,35.15,0.4862
0.64,35.71,0.4771
0.65,36.27,0.4587
0.66,36.83,0.4495
0.67,37.39,0.4312
0.68,37.94,0.422
0.69,38.5,0.4174
0.7,39.06,0.4174
0.71,39.62,0.4128
0.72,40.18,0.3945
0.73,40.73,0.3899
0.74,41.29,0.3899
0.75,41.85,0.3853
0.76,42.41,0.3807
0.77,42.97,0.367
0.78,43.52,0.367
0.79,44.08,0.3624
0.8,44.64,0.3532
0.81,45.2,0.3532
0.82,45.76,0.3532
0.83,46.31,0.3486
0.84,46.87,0.3486
0.85,47.43,0.3486
0.86,47.99,0.3486
0.87,48.55,0.3394
0.88,49.1,0.3349
0.89,49.66,0.3257
0.9,50.22,0.3165
0.91,50.78,0.3073
0.92,51.34,0.2982
0.93,51.89,0.2936
0.94,52.45,0.2936
0.95,53.01,0.289
0.96,53.57,0.2844
0.97,54.13,0.2798
0.98,54.68,0.2752
0.99,55.24,0.2661
1,55.8,0.2661
