elapsed_ratio,elapsed_seconds,audience_watch_ratio
0.01,0.51,1.2926
0.02,1.03,1.2674
0.03,1.54,1.2326
0.04,2.06,1.2171
0.05,2.57,1.2074
0.06,3.08,1.1977
0.07,3.6,1.1783
0.08,4.11,1.1705
0.09,4.63,1.1473
0.1,5.14,1.0775
0.11,5.65,1.0213
0.12,6.17,0.9632
0.13,6.68,0.9419
0.14,7.2,0.9264
0.15,7.71,0.9147
0.16,8.22,0.8973
0.17,8.74,0.8857
0.18,9.25,0.8527
0.19,9.77,0.8295
0.2,10.28,0.8178
0.21,10.79,0.8081
0.22,11.31,0.7888
0.23,11.82,0.781
0.24,12.34,0.7752
0.25,12.85,0.7636
0.26,13.36,0.7442
0.27,13.88,0.7306
0.28,14.39,0.719
0.29,14.91,0.7074
0.3,15.42,0.688
0.31,15.93,0.6841
0.32,16.45,0.6764
0.33,16.96,0.6744
0.34,17.48,0.6667
0.35,17.99,0.657
0.36,18.5,0.6589
0.37,19.02,0.6531
0.38,19.53,0.6512
0.39,20.05,0.6415
0.4,20.56,0.6357
0.41,21.07,0.624
0.42,21.59,0.6182
0.43,22.1,0.6105
0.44,22.62,0.6105
0.45,23.13,0.5988
0.46,23.64,0.5891
0.47,24.16,0.5853
0.48,24.67,0.5678
0.49,25.19,0.562
0.5,25.7,0.562
0.51,26.21,0.5523
0.52,26.73,0.5426
0.53,27.24,0.5213
0.54,27.76,0.5136
0.55,28.27,0.5019
0.56,28.78,0.4922
0.57,29.3,0.4903
0.58,29.81,0.4864
0.59,30.33,0.4729
0.6,30.84,0.4593
0.61,31.35,0.4516
0.62,31.87,0.4477
0.63,32.38,0.4399
0.64,32.9,0.4302
0.65,33.41,0.4244
0.66,33.92,0.4128
0.67,34.44,0.4128
0.68,34.95,0.4109
0.69,35.47,0.4109
0.7,35.98,0.4089
0.71,36.49,0.407
0.72,37.01,0.3992
0.73,37.52,0.3973
0.74,38.04,0.3973
0.75,38.55,0.3953
0.76,39.06,0.3953
0.77,39.58,0.3934
0.78,40.09,0.3934
0.79,40.61,0.3837
0.8,41.12,0.3721
0.81,41.63,0.3702
0.82,42.15,0.3682
0.83,42.66,0.3663
0.84,43.18,0.3605
0.85,43.69,0.3585
0.86,44.2,0.3547
0.87,44.72,0.3488
0.88,45.23,0.3469
0.89,45.75,0.343
0.9,46.26,0.3353
0.91,46.77,0.3178
0.92,47.29,0.3159
0.93,47.8,0.312
0.94,48.32,0.3101
0.95,48.83,0.3043
0.96,49.34,0.3004
0.97,49.86,0.2946
0.98,50.37,0.2946
0.99,50.89,0.2926
1,51.4,0.2926
