start	end	text
0	3820	The internet says he sold 10% of Apple for $800.
4720	5740	Wayne calls that false.
6400	7540	So what actually happened?
7980	11760	Wayne drafted Apple's partnership agreement, then removed his name 12 days later.
12220	13800	Jobs later sent him $800.
14500	17680	Apple was not a corporation, so every partner could be personally liable.
18100	20440	Jobs and Wozniak were young and broke.
21060	25140	Wayne was 41, with a house, a car, and money creditors could reach.
25780	26260	The twist?
26760	28100	Wayne believed in Apple.
28620	33880	He left because he expected decades of paperwork instead of building his own inventions.
35500	40200	Lock your verdict, sell or stay, like, subscribe, and comment now.
40780	43020	Wayne says he does not regret leaving Apple.
43540	44400	What did he regret?
45140	47020	He sold the original contract for $500.
47640	50280	In 2011, it sold for $1.59 million.
50980	52900	So was he history's biggest fool?
53340	54820	Or did walking away give him freedom?
