start	end	text
0	3800	The internet says he sold 10% of Apple for $800.
4820	5780	Wayne calls that false.
6420	7600	So what actually happened?
8020	11820	Wayne drafted Apple's partnership agreement, then removed his name 12 days later.
12300	13900	Jobs later sent him $800.
14580	17800	Apple was not a corporation, so every partner could be personally liable.
18280	20620	Jobs and Wozniak were young and broke.
21240	25320	Wayne was 41, with a house, a car, and money creditors could reach.
26000	26480	The twist?
27000	28360	Wayne believed in Apple.
28360	28940	None.
29460	31480	It was the right product at the right time.
31900	37100	He left because he expected decades of paperwork instead of building his own inventions.
39120	43460	Lock your verdict, sell or stay, like, subscribe, and comment now.
44040	46340	Wayne says he does not regret leaving Apple.
46860	47720	What did he regret?
48500	50380	He sold the original contract for $500.
51020	53640	In 2011, it sold for $1.59 million.
54360	55260	That I regret.
56160	57820	So was he history's biggest fool?
58340	59740	Or did walking away give him freedom?
