start	end	text
0	5060	The internet says he sold 10% of Apple for $800. Wayne calls that false.
6260	11200	So what actually happened? Wayne drafted Apple's partnership agreement, then removed his name 12 days later.
12220	17420	Jobs later sent him $800. Apple was not a corporation, so every partner could be personally liable.
18260	23860	Jobs in Wozniac were young and broke. Wayne was 41 with a house, a car, and money creditors could reach.
25560	28100	The twist? Wayne believed in Apple.
28620	31560	None. It was the right product at the right time.
31800	35300	He left because he expected decades of paperwork instead of building his own inventions.
39200	45480	Lock your verdict, sell or stay. Like, subscribe, and comment now. Wayne says he does not regret leaving Apple.
46280	53780	What did he regret? He sold the original contract for $500. In 2011, it sold for $1.59 million.
54460	58400	That I regret. So was he history's biggest fool or did walking away give him freedom?
