start	end	text
0	2040	He sold 10% of Apple for $800.
3100	5320	Worst trade ever, or did he know something we do not?
6360	8580	Ronald Wayne drafted Apple's first partnership agreement.
9280	11480	12 days after signing it, he removed his name.
12420	14000	Apple was not a corporation yet.
14420	17120	If it could not pay, every partner could be personally liable.
18260	19920	Jobs and Wozniak were young and broke.
20680	23880	Wayne was 41 with a house, a car, and money creditors could reach.
25560	27920	The twist? Wayne believed in Apple.
27920	31420	Done. It was the right product at the right times.
31800	35120	He left because he expected decades of paperwork instead of building his own inventions.
39180	40860	Lock your verdict, sell or stay.
41320	42720	Like, subscribe, and comment now.
43900	45560	Wayne says he does not regret leaving Apple.
46280	47020	His real regret?
48180	50060	He sold the original contract for $500.
50920	53280	In 2011, it sold for $1.59 million.
54380	55240	That I regret.
55240	58600	So was he history's biggest fool or did $800 buy his freedom?
